L scutulata,5,0,17,12,2,6,5,3,0,1,1,2,5,3,5,3,22,2,5,2,0,4,1,0,2,8,3,12,10,3,5,5,27,21,6,3,,,,,,,,,,,,,,,,,,,,
Lottids,129,92,157,187,62,227,286,95,35,141,39,24,198,61,116,75,82,27,83,23,17,93,140,29,102,98,53,15,36,56,36,38,22,78,47,77,,,,,,,,,,,,,,,,,,,,
Barnacles,35,30,25,25,15,25,45,10,10,10,30,20,25,20,55,12,10,10,30,20,45,30,30,50,30,25,20,15,30,45,50,20,90,25,12,20,,,,,,,,,,,,,,,,,,,,
Mytilus,25,0,35,15,70,30,20,15,80,30,40,35,25,55,20,1,8,60,2,60,15,25,50,10,10,20,25,1,15,15,15,15,5,10,70,40,,,,,,,,,,,,,,,,,,,,
Nucella,1,0,,1,3,1,1,,2,3,1,,,2,1,,3,,1,,4,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Barnacle spat,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,
Pagurus,2,,2,2,1,1,,,,6,,,1,1,,,,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Leptasterias,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphonaria,1,,,,,,,,,1,,,,1,,,,,,,,6,1,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Emplectonema,1,,,,,1,,,,,,,,,,,,,,1,,,2,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Amphiporous,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onchidella,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paranemertes,2,,,2,,1,,,,,,,,,,,,,,3,,,1,1,2,4,,,3,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,
Spirorbidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katharina,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antho artemesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitham pikeanum,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
